id,job_name,work_demand,company_locale,company_name,guimo,job_salary,job_salary_fif,demand
1,Hadoop开发工程师,"Hadoop,大数据平台",北京,亿阳信通,1000-9999人,22.5,FALSE,本科
2,Hadoop开发工程师,"Hadoop,Spark,大数据平台,Hive,Hbase",北京,北京阿提拉科技有限公司,100-299人,17.5,FALSE,学历不限
3,Hadoop开发工程师,Hadoop,北京,联动优势科技有限公司,500-999人,20,FALSE,本科
4,Hadoop开发工程师,"Hadoop,Kafka,Hive",北京,徐州立方标牌有限公司,20-99人,25,FALSE,本科
5,Hadoop开发工程师,"Hadoop,大数据平台,分布式计算,大数据开发,数据仓库",北京,亚泰(山东)智能机器人有限公司,20-99人,12.5,TRUE,本科
6,Hadoop开发工程师,"JAVA程序开发,SCALA程序开发,PYTHON程序开发,Linux,MapReduce",北京,软通动力信息技术(集团)股份有限公司,10000人以上,21,FALSE,大专
7,Hadoop开发工程师,"Hadoop,Spark,Hbase,Flink,大数据开发",北京,北京巨洲云科技有限公司,100-299人,25,FALSE,本科
8,Hadoop开发工程师,"Hadoop,数据分析,MapReduce",北京,北京东土拓明科技有限公司,500-999人,15,TRUE,本科
9,Hadoop开发工程师,"Hadoop,Hive,Hbase,Spark,Flink",北京,智象信息,100-299人,22,FALSE,本科
10,Hadoop开发工程师,"Hadoop,Spark,C++,PostgreSQL",北京,北京人合创咨询有限公司,20人以下,10.5,TRUE,本科
11,Hadoop开发工程师,"Hadoop,Java",北京,北大英华,100-299人,17.5,FALSE,本科
12,Hadoop开发工程师,"Hadoop,Spark,Hive,Hbase",北京,北京天华星航科技有限公司,100-299人,17.5,FALSE,本科
13,Hadoop开发工程师,Hadoop,北京,华胜天成,1000-9999人,22.5,FALSE,本科
14,Hadoop开发工程师,,北京,北京博宏慧点科技有限公司,20-99人,9,TRUE,大专
15,Hadoop开发工程师,Java,北京,中博研究院,500-999人,12.5,TRUE,本科
16,Hadoop开发工程师,"Hadoop,大数据平台",北京,润宇科技有限公司,20-99人,12.5,TRUE,本科
17,Hadoop开发工程师,"电商项目,新零售,大数据,Hadoop,IT项目",北京,凯捷中国,1000-9999人,22.5,FALSE,本科
18,Hadoop开发工程师,"Hadoop,MapReduce,Spark,Flink,Flume",北京,北京东土拓明科技有限公司,500-999人,15,TRUE,大专
19,Hadoop开发工程师,"Hadoop,Hbase,Java,大数据开发,数据分析",北京,北京中达恒业科技发展有限公司,20-99人,12.5,TRUE,本科
20,Hadoop开发工程师,"Hadoop,Hive,MySQL,Prometheus,Grafana",北京,中国电信集团系统集成有限责任公司,10000人以上,32.5,FALSE,本科
21,Hadoop开发工程师,"Hadoop,Hive,Java,Linux,Spring",北京,北京炎黄新星网络科技有限公司,500-999人,14,TRUE,本科
22,Hadoop开发工程师,"SQL,Hadoop,Hive,Python,数据库开发",北京,京东物流,10000人以上,25,FALSE,本科
23,Hadoop开发工程师,"Hadoop,MySQL,大数据平台,HDFS,Yarn",北京,中国电信集团系统集成有限责任公司,10000人以上,52.5,FALSE,本科
24,Hadoop开发工程师,"Hadoop,大数据平台,大数据开发,Spark,数据架构",北京,北京阿提拉科技有限公司,100-299人,17.5,FALSE,学历不限
