id,job_name,work_demand,company_locale,company_name,guimo,job_salary,job_salary_fif,demand
1,Python开发工程师,"爬虫,SQL,MySQL数据库,Linux,Redis",北京,奥德塔,20-99人,20,FALSE,本科
2,Python开发工程师,"系统维护,技术支持,windows系统操作,linux系统操作",北京,北京同享易成科技有限公司,100-299人,12,TRUE,本科
3,Python开发工程师,"Python,前端开发,Flask,Django",北京,华研数据股份有限公司,20-99人,15,TRUE,本科
4,Python开发工程师,Python,北京,明达优嘉(北京)科技有限公司,20-99人,15,TRUE,本科
5,Python开发工程师,"Python,SQL,QT",北京,北京微景数科技术有限公司,100-299人,14,TRUE,本科
6,Python开发工程师,"Python,Linux,C++",北京,北京大申烽华科技有限责任公司,100-299人,11.5,TRUE,本科
7,Python开发工程师,Python,北京,北京神州同道智能信息技术有限公司,100-299人,22.5,FALSE,本科
8,Python开发工程师,Python,北京,中国信息通信研究院,1000-9999人,12.5,TRUE,本科
9,Python开发工程师,python爬虫,北京,北京蓝光汇智网络科技有限公司,20-99人,17.5,FALSE,本科
10,Python开发工程师,"TCP/IP,Python,API,Flask,MySQL",北京,构力科技,1000-9999人,22.5,FALSE,本科
11,Python开发工程师,"MongoDB,后端开发,Python",北京,北京中科助腾科技有限公司,20-99人,12.5,TRUE,大专
12,Python开发工程师,"Python,PYQT编程,C++,MVC开发模式",北京,北京展云科技有限公司,20-99人,15,TRUE,本科
13,Python开发工程师,"Python,python爬虫,自然语言处理,抓取,爬虫架构",北京,北京信泰慧智医疗科技有限公司,20人以下,12.5,TRUE,大专
14,Python开发工程师,"Python,后端开发,Django,PostgreSQL,Redis",北京,中科星图股份有限公司,500-999人,22.5,FALSE,硕士
15,Python开发工程师,"Python,Linux,MySQL,XPath",北京,六维联合信息科技(北京)有限公司,20-99人,17.5,FALSE,本科
16,Python开发工程师,"前端开发,后端开发,数据库,Python,架构设计",北京,北京华脉世纪科技有限公司,20-99人,11.5,TRUE,本科
17,Python开发工程师,"Python,MySQL,MongoDB,Django,Tornado",北京,百度,10000人以上,37.5,FALSE,本科
18,Python开发工程师,"Python,Django,Javascript",北京,北京华美汉盛信息技术有限公司,20-99人,9,TRUE,本科
19,Python开发工程师,Python,北京,北京金九源科技有限公司,20-99人,10,TRUE,本科
