job_name,work_demand,company_locale,company_name,guimo,job_salary,job_salary<=15K,demand
数据分析师,"SQL,数据建模,数据挖掘,行业分析,需求分析",北京,智联招聘,1000-9999人,9,TRUE,本科
数据分析师,"行业分析,数据分析,数据采集",北京,北京欧君科技有限责任公司,20-99人,11.5,TRUE,本科
数据分析师,"数据分析,商业分析,SQL,Python,数据建模",北京,智联招聘,1000-9999人,18.5,FALSE,本科
数据分析师,"销售业务数据,统计学",北京,北京欧君科技有限责任公司,20-99人,10,TRUE,学历不限
数据分析师,"Python,数据分析",北京,北京东润环能科技股份有限公司,100-299人,12.5,TRUE,本科
数据分析师,数据分析,北京,央广新媒体文化传媒(北京)有限公司,100-299人,17.5,FALSE,本科
数据分析师,数据分析,北京,北京融海新程科技有限公司,100-299人,12,TRUE,大专
数据分析师,"SQL,SPSS,R语言,SAS",北京,红盾大数据,20-99人,14,TRUE,本科
数据分析师,"数据分析,大数据分析",北京,北京米优汇鑫信息技术有限公司,300-499人,12.5,TRUE,本科
数据分析师,数据分析,北京,北京神州汽车租赁有限公司,10000人以上,37.5,FALSE,本科
数据分析师,"SPSS,行业分析,MySQL,大数据分析,商业数据分析",北京,麦克利兰(北京)信息技术有限公司,20-99人,7,TRUE,本科
数据分析师,"数据建模,深度学习,数据分析",北京,宁博数字技术有限公司,100-299人,30,FALSE,本科
数据分析师,"大数据分析,深度学习,行业分析",北京,北京欧君科技有限责任公司,20-99人,11.5,TRUE,学历不限
数据分析师,数据分析,北京,北京融海新程科技有限公司,100-299人,12,TRUE,大专
数据分析师,"SPSS,行业分析,excel",北京,北京信悦天下文化发展有限公司,100-299人,12.5,TRUE,本科
数据分析师,"数据分析,数据采集,SPSS,数据库",北京,北京世纪互联软件开发有限公司,20-99人,9,TRUE,大专
数据分析师,数据分析,北京,北京融海新程科技有限公司,100-299人,12,TRUE,大专
数据分析师,"需求分析,Python,数据建模,数据挖掘",北京,量子数聚(北京)科技有限公司,20-99人,11.5,TRUE,本科
