job_name,work_demand,company_locale,company_name,guimo,job_salary,job_salary<=15K,demand
算法工程师,"C++,Python,定位算法,MATLAB",北京,中邮科技有限责任公司北京分公司,1000-9999人,40,FALSE,本科
算法工程师,"C++,MATLAB,MATLAB建模,程序编写,算法工程师",北京,万得嘉瑞,20-99人,12,TRUE,本科
算法工程师,"GNSS,PPP,PPP-RTK,C,C++",北京,北京六分科技有限公司,100-299人,30,FALSE,硕士
算法工程师,"深度学习,目标检测,图像算法",北京,北京睛采智能科技有限公司,20-99人,22.5,FALSE,本科
算法工程师,"图像算法,图像处理,C++,Python",北京,博雅工道,100-299人,22.5,FALSE,本科
算法工程师,导航算法,北京,北京六分科技有限公司,100-299人,25,FALSE,本科
算法工程师,MATLAB,北京,海兰信集团,500-999人,30,FALSE,硕士
算法工程师,"大数据算法,机器人算法,目标跟踪,图像识别,人脸识别",北京,北京军懋国兴科技股份有限公司,300-499人,27.5,FALSE,硕士
算法工程师,"定位算法,传感器,SLAM,C++",北京,北京六分科技有限公司,100-299人,26.5,FALSE,硕士
算法工程师,"机器学习,C++,TensorFlow,Caffe,图像算法",北京,北京集联网络技术有限公司,20-99人,30,FALSE,硕士
算法工程师,"LTE,5G,C++,信道",北京,北京军懋国兴科技股份有限公司,300-499人,25,FALSE,硕士
算法工程师,"定位算法,C++,GNSS",北京,北京六分科技有限公司,100-299人,26.5,FALSE,硕士
算法工程师,"C++,OpenGL,Python",北京,江苏壮生医疗科技有限公司,20-99人,40,FALSE,本科
算法工程师,C++,北京,北京途海科技有限公司,20-99人,17.5,FALSE,本科
算法工程师,"C++,三维重建,OpenGL",北京,金润科技,100-299人,24,FALSE,本科
算法工程师,"深度学习,SLAM,机器人,自动驾驶",北京,北京微景数科技术有限公司,100-299人,15,TRUE,本科
算法工程师,C++,北京,北京永新医疗设备有限公司,100-299人,11.5,TRUE,本科
算法工程师,"Python,CUDA,C++,MATLAB,图像算法",北京,国科离子医疗科技有限公司,20-99人,37.5,FALSE,硕士
Hadoop开发工程师,"TensorFlow,Python,机器学习,深度学习",北京,亿阳信通,1000-9999人,20,FALSE,硕士
算法工程师,算法设计,北京,北京永新医疗设备有限公司,100-299人,22.5,FALSE,本科
其他后端开发工程师,"图像处理,Python,文字识别,内容提取",北京,国信优易数据股份有限公司,1000-9999人,20,FALSE,硕士
算法工程师,"信号处理,C++,知识图谱,模式识别,MATLAB",北京,北京艾普时代国际科技有限公司,20-99人,12.5,TRUE,本科
算法工程师,"深度学习,机器学习,Python",北京,北京念念分享科技发展有限公司,100-299人,22.5,FALSE,本科
算法工程师,"聚类,模式识别,深度学习,识别算法,Python",北京,中电科思仪科技股份有限公司,1000-9999人,25,FALSE,硕士
算法工程师,"C++,Python,识别算法,图像算法,定位算法",北京,北斗天下卫星导航有限公司,20-99人,18,FALSE,本科
前端开发,C++,北京,北京永新医疗设备有限公司,100-299人,20,FALSE,硕士
算法工程师,"FPGA,阵列抗干扰",北京,华力创通,500-999人,22.5,FALSE,硕士
算法工程师,"Python,MATLAB",北京,湖南思凌科信息技术有限公司,100-299人,22.5,FALSE,硕士
算法工程师,"导航算法,控制算法,机器人",北京,中国华戎科技集团有限公司,100-299人,13,TRUE,本科
算法工程师,"C++,三维重建",北京,北京永新医疗设备有限公司,100-299人,27.5,FALSE,硕士
算法工程师,导航算法,北京,海丰通航,100-299人,15,TRUE,本科
算法工程师,"机器视觉,图像算法",北京,轩宇空间,300-499人,16.5,FALSE,本科
算法工程师,"深度学习,NLP,文本挖掘",北京,精准传媒,100-299人,37.5,FALSE,本科
算法工程师,"图像算法,目标跟踪,定位算法,目标识别,图像识别",北京,雷科防务,1000-9999人,20,FALSE,硕士
算法工程师,"C++,Python,NLP",北京,上海文谛资产管理有限公司,20-99人,40,FALSE,硕士
Hadoop开发工程师,"Python,机器学习,深度学习,C++",北京,北京东晨联创科技股份有限公司,100-299人,16,FALSE,本科
算法工程师,控制算法,北京,中国华戎科技集团有限公司,100-299人,27.5,FALSE,硕士
Hadoop开发工程师,"C++,Python",北京,飞诺门阵(北京)科技有限公司,20人以下,22.5,FALSE,硕士
算法工程师,"MATLAB,导航算法",北京,北京和协航电信息科技有限公司,100-299人,25,FALSE,本科
算法工程师,"控制算法,MATLAB,C语言,STM32,DSP28335",北京,北京灵思创奇科技有限公司,20-99人,20,FALSE,硕士
Hadoop开发工程师,"C++,MATLAB,深度学习,计算机视觉",北京,星测未来科技(北京)有限责任公司,20-99人,45,FALSE,硕士
算法工程师,"MATLAB,C++,雷达信号处理",北京,北京紫玉伟业电子科技有限公司,20-99人,22.5,FALSE,硕士
其他后端开发工程师,OCR,北京,北京中科睿见科技有限公司,20-99人,20,FALSE,本科
算法工程师,"图像处理,图像识别,识别算法,图像算法,C++",北京,霍里思特,100-299人,32.5,FALSE,本科
算法工程师,"C++,SLAM,PCL",北京,国泰星云,100-299人,15,TRUE,本科
算法工程师,"机器人,控制算法",北京,北京秋点科技有限公司,100-299人,20,FALSE,本科
其他后端开发工程师,"Python,TensorFlow,pytorch",北京,北京中科睿见科技有限公司,20-99人,25,FALSE,本科
算法工程师,"信号处理,深度学习,数字信号,融合算法,TensorFlow",北京,北京声加科技有限公司深圳分公司,20-99人,37.5,FALSE,本科
数据分析师,"机器学习,数据挖掘,控制算法",北京,北京德威智泊科技有限公司,100-299人,15,TRUE,本科
算法工程师,"图像处理,C++,图像识别",北京,国泰星云,100-299人,14,TRUE,本科
算法工程师,"Python,算法,视频内容分析,人脸识别,深度学习",北京,北京正芯合创微电子技术有限公司,20-99人,22.5,FALSE,本科
Hadoop开发工程师,"C++,Python",北京,北京镭场景科技有限公司,20人以下,25,FALSE,硕士
算法工程师,"图像处理,图像算法,图像识别,模式识别,机器视觉",北京,北京中科同志科技股份有限公司,100-299人,14.5,TRUE,学历不限
算法工程师,"深度学习,神经网络,传感器融合,机器学习,传感器",北京,北京瑞赛长城航空测控技术有限公司,100-299人,12.5,TRUE,硕士
数据分析师,"机器学习,C++,Python,数据挖掘,强化学习",北京,杭州数建科技有限公司,20-99人,30,FALSE,硕士
算法工程师,"集成电路设计,对称算法,芯片安全",北京,北京玖聘投资顾问有限公司,20-99人,35,FALSE,本科
算法工程师,"机器视觉,机器人,3d视觉,Python",北京,北京迁移科技有限公司,20-99人,24,FALSE,本科
算法工程师,"图像识别,图像算法,图像分割,pytorch,人脸检测",北京,北京同道大象科技有限公司,100-299人,32.5,FALSE,本科
算法工程师,"NLP,BERT,LSTM,知识图谱,深度学习",北京,建信览智科技(北京)有限公司,20-99人,20,FALSE,硕士
算法工程师,"机器学习,Python,深度学习,数据分析,数据挖掘",北京,中科星图股份有限公司,500-999人,25,FALSE,硕士
算法工程师,"C++,Python,MATLAB",北京,北京环佳通信技术有限公司,100-299人,15,TRUE,硕士
算法工程师,深度学习,北京,北京思创贯宇科技开发有限公司,100-299人,17.5,FALSE,硕士
算法工程师,"个性化推荐,推荐算法,搜索算法",北京,北京当当科文,10000人以上,37.5,FALSE,本科
算法工程师,"视频算法,图像处理,图像识别,大数据算法,Java",北京,北京环佳通信技术有限公司,100-299人,13.5,TRUE,硕士
算法工程师,"数据挖掘,深度学习,机器学习,Python",北京,北京拓普丰联信息工程有限公司,500-999人,20,FALSE,硕士
算法工程师,"深度学习,GBDT,LR",北京,京东商城总部,10000人以上,40,FALSE,本科
算法工程师,"深度学习,TensorFlow,Caffe,OpenCV,Python",北京,北京贝思科技术有限公司,20-99人,30,FALSE,本科
算法工程师,C++,北京,北京华大信安科技有限公司,20-99人,12.5,TRUE,本科
算法工程师,"自然语言处理,数据挖掘,Java,推荐算法,搜索",北京,万方数据股份有限公司,500-999人,21.5,FALSE,本科
算法工程师,"数据挖掘,机器学习,数据建模",北京,北京千尧新能源科技开发有限公司,20-99人,22.5,FALSE,本科
Hadoop开发工程师,AI,北京,中视科华有限公司北京技术服务分公司,1000-9999人,22.5,FALSE,本科
算法工程师,算法,北京,国创智能设备制造股份有限公司,20-99人,15,TRUE,硕士
Hadoop开发工程师,"Hadoop,大数据算法,数据挖掘,Storm,Spark",北京,先河环保,1000-9999人,30,FALSE,本科
算法工程师,"识别算法,MATLAB,数字信号",北京,北京寰宇声望智能科技有限公司,20-99人,14,TRUE,硕士
其他后端开发工程师,"C++,Python",北京,北京嘀嘀无限科技发展有限公司,1000-9999人,30,FALSE,本科
算法工程师,"NLP,知识图谱,机器学习",北京,京东集团,10000人以上,27.5,FALSE,本科
算法工程师,"模式识别,信号处理,MATLAB,Python",北京,北京悦琦创通科技有限公司,100-299人,18.5,FALSE,硕士
算法工程师,"C++,Python,图像识别,目标检测,语音识别",北京,海兰信集团,500-999人,20,FALSE,本科
算法工程师,,北京,北京航天泰睿科技有限公司,100-299人,25,FALSE,本科
算法工程师,"识别算法,语音识别,pytorch,TensorFlow,C++",北京,北京赛思信安技术股份有限公司,100-299人,22.5,FALSE,本科
算法工程师,"C++,Python",北京,百度,10000人以上,25,FALSE,硕士
算法工程师,"数据挖掘,大数据算法",北京,和利时集团,1000-9999人,22.5,FALSE,硕士
算法工程师,"机器人算法,大数据算法",北京,北京南天软件有限公司,1000-9999人,17.5,FALSE,本科
算法工程师,"机器学习,深度学习,TensorFlow,自动驾驶",北京,百度,10000人以上,30,FALSE,本科
算法工程师,"Python,C++,数据挖掘,Hadoop",北京,北京嘀嘀无限科技发展有限公司,1000-9999人,60,FALSE,本科
算法工程师,"C++,传感器融合",北京,百度,10000人以上,30,FALSE,本科
算法工程师,"C++,MATLAB,PID",北京,科益虹源,100-299人,20,FALSE,本科
算法工程师,"C++,Python,Hadoop",北京,北京嘀嘀无限科技发展有限公司,1000-9999人,60,FALSE,本科
Hadoop开发工程师,"深度学习,视觉图像算法,芯片算法,自动驾驶,C++",北京,百度,10000人以上,30,FALSE,本科
算法工程师,"C++,VTK",北京,柏惠维康,20-99人,20,FALSE,硕士
算法工程师,,北京,北京友通上昊科技有限公司,100-299人,19,FALSE,硕士
算法工程师,"大数据算法,推荐算法,视频算法,搜索,语音识别",北京,百度,10000人以上,40,FALSE,本科
算法工程师,自动驾驶,北京,北京嘀嘀无限科技发展有限公司,1000-9999人,30,FALSE,本科
算法工程师,"聚类,决策树,知识图谱,图像处理,深度学习",北京,北京国电通网络技术有限公司,1000-9999人,17.5,FALSE,本科
算法工程师,"C++,Python,视频理解算法工程师",北京,百度,10000人以上,40,FALSE,硕士
算法工程师,"MATLAB,LABVIEW,激光雷达,信号处理,控制算法",北京,北京万维盈创科技发展有限公司,500-999人,9,TRUE,本科
算法工程师,"C++,雷达信号处理",北京,源仪迅驰,20-99人,26.5,FALSE,本科
其他后端开发工程师,机器学习,北京,百度,10000人以上,30,FALSE,本科
算法工程师,"信号处理,深度学习,数字信号,TensorFlow",北京,北京声加科技有限公司深圳分公司,20-99人,20,FALSE,本科
数据分析师,,北京,和利时集团,1000-9999人,25,FALSE,大专
算法工程师,"机器学习,深度学习,图像处理,C++,图像算法",北京,百度,10000人以上,37.5,FALSE,本科
算法工程师,"C++,TensorFlow,机器学习,深度学习,Python",北京,京东商城总部,10000人以上,40,FALSE,本科
算法工程师,"C++,几何算法,空间计算,计算几何,图像算法",北京,构力科技,1000-9999人,37.5,FALSE,本科
